USERLOCK ------------------------------------------------------------------------------------------------
TIME             TGID    PID     LockAddr         LockStatus
10136887025800   24685   24687   140159270433344  mutex_req
10136887048424   24685   24687   140159270433344  mutex_lock-0
10136887109621   24685   24687   140159270433344  mutex_unlock
10136887113789   24685   24687   140159270433344  mutex_req
10136887118528   24685   24687   140159270433344  mutex_lock-0
10136887147293   24685   24687   140159270433344  mutex_unlock
10137763223034   24685   24687   140159270433344  mutex_req
10137763235257   24685   24687   140159270433344  mutex_lock-0
10137763269613   24685   24687   140159269872768  mutex_req
10137763276226   24685   24687   140159269872768  mutex_lock-0
10137763290222   24685   24687   140159269872768  mutex_unlock
10137763306443   24685   24687   140159270433344  mutex_unlock
10137763309930   24685   24687   140159270433344  mutex_req
10137763314699   24685   24687   140159270433344  mutex_lock-0
10137763341220   24685   24687   140159270433344  mutex_unlock
10137763428778   24685   24687   140159270433344  mutex_req
10137763435341   24685   24687   140159270433344  mutex_lock-0
10137763438677   24685   24687   140159269872768  mutex_req
10137763443436   24685   24687   140159269872768  mutex_lock-0
10137763468564   24685   24687   140159269872768  mutex_unlock
10137763610045   24685   24687   140159270433344  mutex_unlock
10137763614314   24685   24687   140159270433344  mutex_req
10137763619213   24685   24687   140159270433344  mutex_lock-0
10137763643710   24685   24687   140159270433344  mutex_unlock
10137763897343   24685   24687   140159270433344  mutex_req
10137763907803   24685   24687   140159270433344  mutex_lock-0
10137763912031   24685   24687   140159269872768  mutex_req
10137763917081   24685   24687   140159269872768  mutex_lock-0
10137763929675   24685   24687   140159269872768  mutex_unlock
10137764027944   24685   24687   140159270433344  mutex_unlock
10137764032272   24685   24687   140159270433344  mutex_req
10137764036951   24685   24687   140159270433344  mutex_lock-0
10137764063943   24685   24687   140159270433344  mutex_unlock
10137764282209   24685   24687   140159270433344  mutex_req
10137764292188   24685   24687   140159270433344  mutex_lock-0
10137764296096   24685   24687   140159269872768  mutex_req
10137764301206   24685   24687   140159269872768  mutex_lock-0
10137764313369   24685   24687   140159269872768  mutex_unlock
10137764396779   24685   24687   140159270433344  mutex_unlock
10137764400225   24685   24687   140159270433344  mutex_req
10137764404804   24685   24687   140159270433344  mutex_lock-0
10137764414443   24685   24687   140159270433344  mutex_unlock
10137765021566   24685   24687   140159270433344  mutex_req
10137765028189   24685   24687   140159270433344  mutex_lock-0
10137765031165   24685   24687   140159269872768  mutex_req
10137765034932   24685   24687   140159269872768  mutex_lock-0
10137765044540   24685   24687   140159269872768  mutex_unlock
10137765181568   24685   24687   140159270433344  mutex_unlock
10137765186898   24685   24687   140159270433344  mutex_req
10137765192048   24685   24687   140159270433344  mutex_lock-0
10137765217737   24685   24687   140159270433344  mutex_unlock
10137765586659   24685   24687   140159270433344  mutex_req
10137765594414   24685   24687   140159270433344  mutex_lock-0
10137765597681   24685   24687   140159269872768  mutex_req
10137765601608   24685   24687   140159269872768  mutex_lock-0
10137765615605   24685   24687   140159269872768  mutex_unlock
10137765689126   24685   24687   140159270433344  mutex_unlock
10137765692092   24685   24687   140159270433344  mutex_req
10137765695829   24685   24687   140159270433344  mutex_lock-0
10137765718963   24685   24687   140159270433344  mutex_unlock
10137765818897   24685   24687   140159270433344  mutex_req
10137765827944   24685   24687   140159270433344  mutex_lock-0
10137765831682   24685   24687   140159269872768  mutex_req
10137765836541   24685   24687   140159269872768  mutex_lock-0
10137765864494   24685   24687   140159269872768  mutex_unlock
10137765979435   24685   24687   140159270433344  mutex_unlock
10137765984424   24685   24687   140159270433344  mutex_req
10137765989524   24685   24687   140159270433344  mutex_lock-0
10137766016716   24685   24687   140159270433344  mutex_unlock
10137766122757   24685   24687   140159270433344  mutex_req
10137766131594   24685   24687   140159270433344  mutex_lock-0
10137766135531   24685   24687   140159269872768  mutex_req
10137766140761   24685   24687   140159269872768  mutex_lock-0
10137766171070   24685   24687   140159269872768  mutex_unlock
10137766275109   24685   24687   140159270433344  mutex_unlock
10137766279227   24685   24687   140159270433344  mutex_req
10137766283204   24685   24687   140159270433344  mutex_lock-0
10137766308453   24685   24687   140159270433344  mutex_unlock
10137766400143   24685   24687   140159270433344  mutex_req
10137766407648   24685   24687   140159270433344  mutex_lock-0
10137766411205   24685   24687   140159269872768  mutex_req
10137766415964   24685   24687   140159269872768  mutex_lock-0
10137766440901   24685   24687   140159269872768  mutex_unlock
10137766550572   24685   24687   140159270433344  mutex_unlock
10137766554339   24685   24687   140159270433344  mutex_req
10137766559108   24685   24687   140159270433344  mutex_lock-0
10137766585979   24685   24687   140159270433344  mutex_unlock
10137766663167   24685   24687   140159270433344  mutex_req
10137766669439   24685   24687   140159270433344  mutex_lock-0
10137766672806   24685   24687   140159269872768  mutex_req
10137766677575   24685   24687   140159269872768  mutex_lock-0
10137766702914   24685   24687   140159269872768  mutex_unlock
10137766821361   24685   24687   140159270433344  mutex_unlock
10137766825138   24685   24687   140159270433344  mutex_req
10137766830117   24685   24687   140159270433344  mutex_lock-0
10137766854003   24685   24687   140159270433344  mutex_unlock
10137766926813   24685   24687   140159270433344  mutex_req
10137766933105   24685   24687   140159270433344  mutex_lock-0
10137766936421   24685   24687   140159269872768  mutex_req
10137766941160   24685   24687   140159269872768  mutex_lock-0
10137766965978   24685   24687   140159269872768  mutex_unlock
10137767120564   24685   24687   140159270433344  mutex_unlock
