SCHEDULE ----------------------------------------------------------------------------------------------------------------------
TIME      TGID    PID     PRIO  | P_AVG_DELAY(ms) S_AVG_DELAY(ms) | P_MAX_DELAY(ms) S_MAX_DELAY(ms) | P_MIN_DELAY(ms) S_MIN_DELAY(ms) |
20:27:22  24064   24244   120   | 57.121371       2.168748        | 68.018494       2001.317707     | 36.006590       0.001112        |
20:27:22  24064   24233   120   | 56.905162       2.168748        | 64.000029       2001.317707     | 46.295556       0.001112        |
20:27:22  24064   24232   120   | 57.563831       2.168748        | 60.262215       2001.317707     | 48.224050       0.001112        |
20:27:22  24064   24229   120   | 64.590289       2.168748        | 106.511997      2001.317707     | 59.758916       0.001112        |
20:27:22  24064   24234   120   | 59.072343       2.168748        | 108.037966      2001.317707     | 0.509858        0.001112        |
20:27:22  24064   24240   120   | 55.319562       2.168748        | 63.862909       2001.317707     | 25.735018       0.001112        |
20:27:22  24064   24235   120   | 57.791499       2.168748        | 79.199367       2001.317707     | 6.194407        0.001112        |
20:27:22  24064   24230   120   | 59.908691       2.168748        | 64.024325       2001.317707     | 56.036771       0.001112        |
20:27:22  24064   24236   120   | 58.121635       2.168748        | 87.314339       2001.317707     | 10.187313       0.001112        |
20:27:22  24064   24237   120   | 55.620242       2.168748        | 63.975367       2001.317707     | 14.809102       0.001112        |
20:27:22  24064   24231   120   | 59.503467       2.168748        | 60.026642       2001.317707     | 54.392877       0.001112        |
20:27:22  24064   24238   120   | 58.435948       2.168748        | 71.979297       2001.317707     | 17.823338       0.001112        |
20:27:22  24064   24241   120   | 52.159462       2.168748        | 60.260964       2001.317707     | 12.710341       0.001112        |
20:27:22  24064   24243   120   | 55.824161       2.168748        | 67.913398       2001.317707     | 28.022834       0.001112        |
20:27:22  24064   24064   120   | 0.004448        2.168748        | 0.004448        2001.317707     | 0.004448        0.001112        |
20:27:22  24064   24242   120   | 55.871760       2.168748        | 63.992946       2001.317707     | 33.861515       0.001112        |
20:27:22  24064   24239   120   | 56.515009       2.168748        | 67.993184       2001.317707     | 22.028567       0.001112        |
20:27:23  24064   24244   120   | 58.625975       2.620520        | 68.018494       2001.317707     | 36.006590       0.001112        |
20:27:23  24064   24233   120   | 58.524302       2.620520        | 64.019336       2001.317707     | 46.295556       0.001112        |
20:27:23  24064   24232   120   | 58.816263       2.620520        | 76.035102       2001.317707     | 48.008491       0.001112        |
20:27:23  24064   24229   120   | 61.433395       2.620520        | 106.511997      2001.317707     | 47.963295       0.001112        |
20:27:23  24064   24234   120   | 59.460880       2.620520        | 108.037966      2001.317707     | 0.509858        0.001112        |
20:27:23  24064   24240   120   | 57.673148       2.620520        | 64.131078       2001.317707     | 25.735018       0.001112        |
20:27:23  24064   24235   120   | 59.181758       2.620520        | 79.199367       2001.317707     | 6.194407        0.001112        |
20:27:23  24064   24230   120   | 60.507071       2.620520        | 68.026218       2001.317707     | 56.036771       0.001112        |
20:27:23  24064   24236   120   | 59.321640       2.620520        | 87.314339       2001.317707     | 10.187313       0.001112        |
20:27:23  24064   24237   120   | 57.810766       2.620520        | 63.975367       2001.317707     | 14.809102       0.001112        |
20:27:23  24064   24231   120   | 59.775459       2.620520        | 60.033059       2001.317707     | 54.392877       0.001112        |
20:27:23  24064   24238   120   | 59.582010       2.620520        | 71.979297       2001.317707     | 17.823338       0.001112        |
20:27:23  24064   24241   120   | 56.076251       2.620311        | 64.018665       2001.317707     | 12.710341       0.001112        |
20:27:23  24064   24243   120   | 58.899007       2.619891        | 71.966960       2001.317707     | 28.022834       0.001112        |
20:27:23  24064   24064   120   | 0.004448        2.619891        | 0.004448        2001.317707     | 0.004448        0.001112        |
20:27:23  24064   24242   120   | 57.939475       2.619891        | 64.026891       2001.317707     | 33.861515       0.001112        |
20:27:23  24064   24239   120   | 58.361336       2.619891        | 67.993184       2001.317707     | 22.028567       0.001112        |
20:27:24  24064   24244   120   | 59.039819       2.855943        | 68.018494       2001.317707     | 36.006590       0.001032        |
20:27:24  24064   24233   120   | 59.151239       2.855281        | 64.019336       2001.317707     | 46.295556       0.001032        |
20:27:24  24064   24232   120   | 59.416554       2.855281        | 76.035102       2001.317707     | 48.008491       0.001032        |
20:27:24  24064   24229   120   | 60.815200       2.855281        | 106.511997      2001.317707     | 47.963295       0.001032        |
