SCHEDULE ----------------------------------------------------------------------------------------------------------------------
TIME      TGID    PID     PRIO  | P_AVG_DELAY(ms) S_AVG_DELAY(ms) | P_MAX_DELAY(ms) S_MAX_DELAY(ms) | P_MIN_DELAY(ms) S_MIN_DELAY(ms) |
20:27:24  24064   24234   120   | 59.560292       2.855281        | 108.037966      2001.317707     | 0.509858        0.001032        |
20:27:24  24064   24240   120   | 58.522419       2.855281        | 64.131078       2001.317707     | 25.735018       0.001032        |
20:27:24  24064   24235   120   | 59.469099       2.855281        | 79.199367       2001.317707     | 6.194407        0.001032        |
20:27:24  24064   24230   120   | 60.321056       2.855281        | 68.026218       2001.317707     | 56.027145       0.001032        |
20:27:24  24064   24236   120   | 59.649324       2.855281        | 87.314339       2001.317707     | 10.187313       0.001032        |
20:27:24  24064   24237   120   | 58.702155       2.855281        | 64.014910       2001.317707     | 14.809102       0.001032        |
20:27:24  24064   24231   120   | 59.865037       2.855281        | 60.144856       2001.317707     | 54.392877       0.001032        |
20:27:24  24064   24238   120   | 59.727346       2.855281        | 71.979297       2001.317707     | 17.823338       0.001032        |
20:27:24  24064   24241   120   | 57.643437       2.855281        | 68.015330       2001.317707     | 12.710341       0.001032        |
20:27:24  24064   24243   120   | 59.219468       2.855281        | 71.966960       2001.317707     | 28.022834       0.001032        |
20:27:24  24064   24064   120   | 0.004448        2.855281        | 0.004448        2001.317707     | 0.004448        0.001032        |
20:27:24  24064   24242   120   | 58.609483       2.855281        | 64.026891       2001.317707     | 33.861515       0.001032        |
20:27:24  24064   24239   120   | 58.782624       2.855281        | 67.993184       2001.317707     | 22.028567       0.001032        |
20:27:25  24064   24244   120   | 59.485756       2.908703        | 68.018976       2001.317707     | 36.006590       0.001032        |
20:27:25  24064   24233   120   | 59.230209       2.908703        | 68.021873       2001.317707     | 46.295556       0.001032        |
20:27:25  24064   24232   120   | 59.568233       2.908703        | 76.035102       2001.317707     | 48.008491       0.001032        |
20:27:25  24064   24229   120   | 60.471222       2.908703        | 106.511997      2001.317707     | 47.963295       0.001032        |
20:27:25  24064   24234   120   | 60.696534       2.908703        | 118.313442      2001.317707     | 0.509858        0.001032        |
20:27:25  24064   24240   120   | 58.986867       2.908703        | 80.027058       2001.317707     | 25.735018       0.001032        |
20:27:25  24064   24235   120   | 59.733110       2.908703        | 79.199367       2001.317707     | 6.194407        0.001032        |
20:27:25  24064   24230   120   | 60.165
