           <...>-3563    [004] d..4. 11905.227481: bpf_trace_printk: 24064 delay 4448
 test_proc_image-24242   [004] d..4. 11905.494185: bpf_trace_printk: 24243 delay 56246364

 test_proc_image-24243   [004] d..4. 11905.498192: bpf_trace_printk: 24239 delay 67993184

 test_proc_image-24239   [004] d..4. 11905.502191: bpf_trace_printk: 24241 delay 56004751

 test_proc_image-24241   [004] d..4. 11905.505952: bpf_trace_printk: 24244 delay 63777856

 test_proc_image-24244   [004] d..4. 11905.510189: bpf_trace_printk: 24238 delay 60002154

 test_proc_image-24238   [004] d..4. 11905.514211: bpf_trace_printk: 24233 delay 60006272

 test_proc_image-24233   [004] d..4. 11905.518192: bpf_trace_printk: 24236 delay 59979030

 test_proc_image-24236   [004] d..4. 11905.522207: bpf_trace_printk: 24235 delay 59989320

 test_proc_image-24235   [004] d..4. 11905.526235: bpf_trace_printk: 24229 delay 60010560

 test_proc_image-24229   [004] d..4. 11905.530229: bpf_trace_printk: 24232 delay 60028514

 test_proc_image-24232   [004] d..4. 11905.534195: bpf_trace_printk: 24234 delay 60014808

 test_proc_image-24234   [004] d..4. 11905.538194: bpf_trace_printk: 24231 delay 60013456

 test_proc_image-24231   [004] d..4. 11905.542227: bpf_trace_printk: 24230 delay 56036771

 test_proc_image-24230   [004] d..4. 11905.546211: bpf_trace_printk: 24237 delay 63975367

 test_proc_image-24237   [004] d..4. 11905.550194: bpf_trace_printk: 24240 delay 60008270

 test_proc_image-24240   [004] d..4. 11905.554192: bpf_trace_printk: 24242 delay 60009724

 test_proc_image-24242   [004] d..4. 11905.558210: bpf_trace_printk: 24243 delay 60021666

 test_proc_image-24243   [004] d..4. 11905.562214: bpf_trace_printk: 24241 delay 56259991

 test_proc_image-24241   [004] d..4. 11905.566215: bpf_trace_printk: 24239 delay 64023137

 test_proc_image-24239   [004] d..4. 11905.570211: bpf_trace_printk: 24238 delay 55993665

 test_proc_image-24238   [004] d..4. 11905.574221: bpf_trace_printk: 24233 delay 56026503

 test_proc_image-24233   [004] d..4. 11905.578207: bpf_trace_printk: 24244 delay 68018494

 test_proc_image-24244   [004] d..4. 11905.582210: bpf_trace_printk: 24236 delay 60005110

 test_proc_image-24236   [004] d..4. 11905.586194: bpf_trace_printk: 24235 delay 59966982

