KEYTIME -------------------------------------------------------------------------------------------------
TIME      TGID    PID     EVENT            ARGS/RET/OTHERS
15:21:43  56435   56435   onCPU            oncpu_time:54649754772604 
15:21:43  56435   56435   forkP_enter      child_pid:56755 
15:21:43  56435   56435   offCPU           offcpu_time:54649755106408
15:21:45  56435   56435   forkP_exit       child_pid:56755 
15:21:45  56435   56435   onCPU            oncpu_time:54651757545933 
15:21:45  56435   56435   offCPU           offcpu_time:54651757681525
15:21:45  56435   56435   vforkP_enter     child_pid:56769 
15:21:47  56435   56435   vforkP_exit      child_pid:56769 
15:21:47  56435   56435   onCPU            oncpu_time:54653758974101 
15:21:47  56435   56435   offCPU           offcpu_time:54653758990232
15:21:47  56435   56435   onCPU            oncpu_time:54653759070296 
15:21:47  56435   56435   createT_enter    child_pid:56780 
15:21:47  56435   56435   createT_enter    child_pid:56781 
15:21:47  56435   56435   createT_enter    child_pid:56782 
15:21:47  56435   56435   offCPU           offcpu_time:54653762536553
15:21:47  56435   56782   onCPU            oncpu_time:54653762540951 
15:21:47  56435   56782   offCPU           offcpu_time:54653767724550
15:21:47  56435   56781   onCPU            oncpu_time:54653767803201 
15:21:47  56435   56781   offCPU           offcpu_time:54653779354082
15:21:47  56435   56782   onCPU            oncpu_time:54653779363049 
15:21:47  56435   56782   offCPU           offcpu_time:54653791296493
15:21:47  56435   56780   onCPU            oncpu_time:54653791307845 
15:21:47  56435   56780   offCPU           offcpu_time:54653803176263
15:21:47  56435   56781   onCPU            oncpu_time:54653803197374 
15:21:47  56435   56781   offCPU           offcpu_time:54653815230761
15:21:47  56435   56782   onCPU            oncpu_time:54653815246631 
15:21:47  56435   56782   offCPU           offcpu_time:54653827185611
15:21:47  56435   56780   onCPU            oncpu_time:54653827196953 
15:21:47  56435   56780   offCPU           offcpu_time:54653839164939
15:21:47  56435   56781   onCPU            oncpu_time:54653839173184 
15:21:47  56435   56781   offCPU           offcpu_time:54653847699426
15:21:47  56435   56782   onCPU            oncpu_time:54653847709245 
15:21:47  56435   56782   offCPU           offcpu_time:54653863037192
15:21:47  56435   56780   onCPU            oncpu_time:54653863046409 
15:21:47  56435   56780   offCPU           offcpu_time:54653879184318
15:21:47  56435   56782   onCPU            oncpu_time:54653879200258 
15:21:47  56435   56782   offCPU           offcpu_time:54653895291617
15:21:47  56435   56780   onCPU            oncpu_time:54653895300545 
15:21:47  56435   56780   offCPU           offcpu_time:54653911194714
15:21:47  56435   56782   onCPU            oncpu_time:54653911206136 
