KEYTIME -------------------------------------------------------------------------------------------------
TIME      PID     EVENT            ARGS/RET/OTHERS
23:03:32  88355   onCPU            oncpu_time:28630949971766 
23:03:32  88355   forkP_enter      child_pid:88562 
23:03:32  88355   offCPU           offcpu_time:28630950306707
23:03:34  88355   forkP_exit       child_pid:88562 
23:03:34  88355   onCPU            oncpu_time:28632951052310 
23:03:34  88355   offCPU           offcpu_time:28632951158446
23:03:35  88355   onCPU            oncpu_time:28633661351759 
23:03:35  88355   offCPU           offcpu_time:28633661513491
23:03:35  88355   vforkP_enter     child_pid:88661 
23:03:37  88355   vforkP_exit      child_pid:88661 
23:03:37  88355   onCPU            oncpu_time:28635662368155 
23:03:37  88355   offCPU           offcpu_time:28635662451550
23:03:37  88355   onCPU            oncpu_time:28636231401598 
23:03:37  88355   createT_enter    child_pid:88697 
23:03:37  88355   createT_enter    child_pid:88698 
23:03:37  88355   createT_enter    child_pid:88699 
23:03:37  88355   offCPU           offcpu_time:28636231712175
23:03:37  88355   onCPU            oncpu_time:28636329970678 
23:03:37  88355   offCPU           offcpu_time:28636329989494
23:03:37  88355   createT_exit     child_pid:88699 
23:03:39  88355   createT_exit     child_pid:88698 
23:03:40  88355   createT_exit     child_pid:88697 
23:03:40  88355   onCPU            oncpu_time:28639288032087 
23:03:40  88355   offCPU           offcpu_time:28639288157800
23:03:41  88355   onCPU            oncpu_time:28639937810493 
23:03:41  88355   offCPU           offcpu_time:28639937907988
23:03:44  88355   onCPU            oncpu_time:28642937946630 
23:03:44  88355   offCPU           offcpu_time:28642938024437
23:03:45  88355   onCPU            oncpu_time:28643844231644 
23:03:45  88355   exec_enter       /bin/ls -l 
23:03:45  88355   exec_exit        0 
23:03:45  88355   exit             0 
23:03:45  88355   offCPU           offcpu_time:28643846254907
