KEYTIME -------------------------------------------------------------------------------------------------
TIME      TGID    PID     EVENT            ARGS/RET/OTHERS
15:29:58  5510    5510    onCPU            oncpu_time:541221636132 
15:29:58  5510    5510    forkP_enter      child_pid:5682 
15:29:58  5510    5510    offCPU           offcpu_time:541222110246
15:30:00  5510    5510    forkP_exit       child_pid:5682 
15:30:00  5510    5510    onCPU            oncpu_time:543222940243 
15:30:00  5510    5510    offCPU           offcpu_time:543223119252
15:30:00  5510    5510    vforkP_enter     child_pid:5726 
15:30:02  5510    5510    vforkP_exit      child_pid:5726 
15:30:02  5510    5510    onCPU            oncpu_time:545223491508 
15:30:02  5510    5510    offCPU           offcpu_time:545223506567
15:30:02  5510    5510    onCPU            oncpu_time:545223539010 
15:30:02  5510    5510    createT_enter    child_pid:5752 
15:30:02  5510    5510    createT_enter    child_pid:5753 
15:30:02  5510    5510    createT_enter    child_pid:5754 
15:30:02  5510    5510    offCPU           offcpu_time:545223850607
15:30:02  5510    5754    onCPU            oncpu_time:545223854545 
15:30:02  5510    5754    offCPU           offcpu_time:545235547080
15:30:02  5510    5753    onCPU            oncpu_time:545235602808 
15:30:02  5510    5753    offCPU           offcpu_time:545237887999
15:30:02  5510    5752    onCPU            oncpu_time:545237898480 
15:30:02  5510    5752    offCPU           offcpu_time:545252445655
15:30:02  5510    5754    onCPU            oncpu_time:545252458801 
15:30:02  5510    5754    offCPU           offcpu_time:545264526165
15:30:02  5510    5752    onCPU            oncpu_time:545264562115 
15:30:02  5510    5752    offCPU           offcpu_time:545280144236
15:30:02  5510    5754    onCPU            oncpu_time:545280181218 
15:30:02  5510    5754    offCPU           offcpu_time:545286342800
15:30:02  5510    5752    onCPU            oncpu_time:545286353191 
15:30:02  5510    5752    offCPU           offcpu_time:545556516239
15:30:02  5510    5752    onCPU            oncpu_time:545556565244 
15:30:02  5510    5752    offCPU           offcpu_time:546192162313
15:30:02  5510    5752    onCPU            oncpu_time:546192186830 
15:30:03  5510    5752    offCPU           offcpu_time:546356198370
15:30:03  5510    5752    onCPU            oncpu_time:546356852984 
15:30:03  5510    5752    offCPU           offcpu_time:546768312864
15:30:03  5510    5752    onCPU            oncpu_time:546768367360 
15:30:03  5510    5752    offCPU           offcpu_time:547156236191
15:30:03  5510    5752    onCPU            oncpu_time:547156289204 
15:30:03  5510    5752    offCPU           offcpu_time:547188408103
15:30:03  5510    5752    onCPU            oncpu_time:547188434364 
15:30:04  5510    5752    offCPU           offcpu_time:547540499699
15:30:04  5510    5752    onCPU            oncpu_time:547540547051 
15:30:04  5510    5752    offCPU           offcpu_time:547956103458
15:30:04  5510    5752    onCPU            oncpu_time:547956177532 
15:30:05  5510    5752    offCPU           offcpu_time:548238176241
15:30:05  5510    5753    onCPU            oncpu_time:548238189166 
15:30:05  5510    5753    exit             0 
15:30:05  5510    5510    createT_exit     child_pid:5753 
15:30:05  5510    5753    offCPU           offcpu_time:548238539308
15:30:05  5510    5752    onCPU            oncpu_time:548238544237 
15:30:05  5510    5752    offCPU           offcpu_time:548248263986
15:30:05  5510    5752    onCPU            oncpu_time:548248292462 
15:30:05  5510    5752    exit             0 
15:30:05  5510    5510    createT_exit     child_pid:5752 
15:30:05  5510    5752    offCPU           offcpu_time:548267981922
15:30:05  5510    5510    onCPU            oncpu_time:548267993044 
15:30:05  5510    5510    offCPU           offcpu_time:548268011149
15:30:05  5510    5752    onCPU            oncpu_time:548268013694 
15:30:05  5510    5752    offCPU           offcpu_time:548268039895
15:30:05  5510    5754    onCPU            oncpu_time:548286688819 
15:30:05  5510    5754    offCPU           offcpu_time:548286803703
15:30:05  5510    5754    onCPU            oncpu_time:548287098296 
15:30:05  5510    5754    offCPU           offcpu_time:548287143244
15:30:05  5510    5754    vforkP_enter     child_pid:5777 
15:30:05  5510    5754    vforkP_exit      child_pid:5777 
15:30:05  5510    5510    onCPU            oncpu_time:548289566032 
15:30:05  5510    5510    offCPU           offcpu_time:548289601020
15:30:05  5510    5754    onCPU            oncpu_time:548289609837 
15:30:05  5510    5754    exit             0 
15:30:05  5510    5510    createT_exit     child_pid:5754 
15:30:05  5510    5754    offCPU           offcpu_time:548289902066
15:30:05  5510    5510    onCPU            oncpu_time:548289906124 
15:30:05  5510    5510    offCPU           offcpu_time:548290076125
15:30:08  5510    5510    onCPU            oncpu_time:551290290012 
15:30:08  5510    5510    exec_enter       /bin/ls -l 
15:30:08  5510    5510    offCPU           offcpu_time:551290842868
15:30:08  5510    5510    onCPU            oncpu_time:551291591586 
15:30:08  5510    5510    exec_exit        0 
15:30:08  5510    5510    exit             0 
15:30:08  5510    5510    offCPU           offcpu_time:551293203575
