SCHEDULE ----------------------------------------------------------------------------------------------------------------------
TIME      TGID    PID     PRIO  | P_AVG_DELAY(ms) S_AVG_DELAY(ms) | P_MAX_DELAY(ms) S_MAX_DELAY(ms) | P_MIN_DELAY(ms) S_MIN_DELAY(ms) |
21:55:12  29705   30263   120   | 57.442722       3.032737        | 67.674971       2085.889342     | 37.406719       0.000882        |
21:55:12  29705   30265   120   | 60.281925       3.032737        | 72.018766       2085.889342     | 45.285201       0.000882        |
21:55:12  29705   30267   120   | 56.959784       3.032737        | 64.018443       2085.889342     | 28.286873       0.000882        |
21:55:12  29705   29705   120   | 0.004809        3.032737        | 0.004809        2085.889342     | 0.004809        0.000882        |
21:55:12  29705   30256   120   | 60.100359       3.032737        | 73.686903       2085.889342     | 51.973752       0.000882        |
21:55:12  29705   30269   120   | 58.711782       3.032737        | 72.013707       2085.889342     | 44.202620       0.000882        |
21:55:12  29705   30264   120   | 58.218259       3.032737        | 72.013627       2085.889342     | 41.031998       0.000882        |
21:55:12  29705   30257   120   | 59.102727       3.032737        | 69.628485       2085.889342     | 51.999356       0.000882        |
21:55:12  29705   30260   120   | 59.516577       3.032737        | 92.002259       2085.889342     | 25.142902       0.000882        |
21:55:12  29705   30259   120   | 60.542184       3.032737        | 108.348840      2085.889342     | 19.561148       0.000882        |
21:55:12  29705   30258   120   | 60.824068       3.032737        | 122.003156      2085.889342     | 13.581161       0.000882        |
21:55:12  29705   30262   120   | 57.970358       3.032737        | 67.982692       2085.889342     | 33.407009       0.000882        |
21:55:12  29705   30270   120   | 59.445782       3.032737        | 72.012554       2085.889342     | 44.008079       0.000882        |
21:55:12  29705   30261   120   | 58.472772       3.032737        | 72.089872       2085.889342     | 29.450209       0.000882        |
21:55:12  29705   30268   120   | 59.722337       3.032737        | 75.709069       2085.889342     | 36.338791       0.000882        |
21:55:12  29705   30255   120   | 61.460468       3.032737        | 77.784962       2085.889342     | 56.010178       0.000882        |
21:55:12  29705   30266   120   | 57.700722       3.032737        | 76.011399       2085.889342     | 39.815206       0.000882        |
21:55:13  29705   30263   120   | 59.284687       3.739865        | 72.030970       2085.889342     | 37.406719       0.000882        |
21:55:13  29705   30265   120   | 58.684879       3.739865        | 72.018766       2085.889342     | 14.999412       0.000882        |
21:55:13  29705   30267   120   | 58.925804       3.739865        | 71.837144       2085.889342     | 28.286873       0.000882        |
21:55:13  29705   29705   120   | 0.004809        3.739865        | 0.004809        2085.889342     | 0.004809        0.000882        |
21:55:13  29705   30256   120   | 60.252713       3.739865        | 73.686903       2085.889342     | 51.972083       0.000882        |
21:55:13  29705   30269   120   | 61.553301       3.739865        | 104.015723      2085.889342     | 44.202620       0.000882        |
21:55:13  29705   30264   120   | 59.086660       3.739865        | 72.013627       2085.889342     | 41.031998       0.000882        |
21:55:13  29705   30257   120   | 61.163502       3.739865        | 96.055618       2085.889342     | 51.999356       0.000882        |
21:55:13  29705   30260   120   | 59.889839       3.739865        | 92.002259       2085.889342     | 25.142902       0.000882        |
21:55:13  29705   30259   120   | 60.524660       3.739865        | 108.348840      2085.889342     | 19.561148       0.000882        |
21:55:13  29705   30258   120   | 60.388203       3.739865        | 122.003156      2085.889342     | 13.581161       0.000882        |
21:55:13  29705   30262   120   | 56.975277       3.739865        | 96.029438       2085.889342     | 0.019427        0.000882        |
21:55:13  29705   30270   120   | 59.758591       3.738965        | 72.012554       2085.889342     | 44.008079       0.000882        |
21:55:13  29705   30261   120   | 59.640966       3.738965        | 72.089872       2085.889342     | 29.450209       0.000882        |
21:55:13  29705   30268   120   | 60.009931       3.738965        | 75.709069       2085.889342     | 36.338791       0.000882        |
21:55:13  29705   30255   120   | 61.082617       3.738965        | 77.784962       2085.889342     | 56.010178       0.000882        |
21:55:13  29705   30266   120   | 59.382695       3.738965        | 76.011399       2085.889342     | 39.815206       0.000882        |
21:55:14  29705   30263   120   | 59.439293       4.486027        | 72.030970       4629.971274     | 37.406719       0.000882        |
21:55:14  29705   30265   120   | 59.277075       4.486027        | 74.783045       4629.971274     | 14.999412       0.000882        |
21:55:14  29705   30267   120   | 59.200207       4.486027        | 71.837144       4629.971274     | 28.286873       0.000882        |
21:55:14  29705   29705   120   | 0.004809        4.486027        | 0.004809        4629.971274     | 0.004809        0.000882        |
21:55:14  29705   30256   120   | 60.343717       4.486027        | 80.016246       4629.971274     | 48.131959       0.000882        |
21:55:14  29705   30269   120   | 60.828869       4.486027        | 104.015723      4629.971274     | 44.202620       0.000882        |
21:55:14  29705   30264   120   | 62.809482       4.486027        | 202.431816      4629.971274     | 41.031998       0.000882        |
