SCHEDULE ----------------------------------------------------------------------------------------------------------------------
TIME      TGID    PID     PRIO  | P_AVG_DELAY(ms) S_AVG_DELAY(ms) | P_MAX_DELAY(ms) S_MAX_DELAY(ms) | P_MIN_DELAY(ms) S_MIN_DELAY(ms) |
20:22:51  23042   23292   120   | 78.032310       0.491590        | 168.100075      1000.315859     | 59.994121       0.000911        |
20:22:51  23042   23305   120   | 53.429168       0.491590        | 67.915801       1000.315859     | 27.917449       0.000911        |
20:22:51  23042   23299   120   | 54.959584       0.491590        | 80.030216       1000.315859     | 4.103736        0.000911        |
20:22:51  23042   23307   120   | 53.915559       0.491590        | 63.990994       1000.315859     | 35.843739       0.000911        |
20:22:51  23042   23304   120   | 52.952205       0.491590        | 64.006453       1000.315859     | 24.034282       0.000911        |
20:22:51  23042   23298   120   | 54.466669       0.491590        | 87.520337       1000.315859     | 0.451896        0.000911        |
20:22:51  23042   23301   120   | 51.501735       0.491590        | 60.023842       1000.315859     | 12.171774       0.000911        |
20:22:51  23042   23296   120   | 56.040729       0.491590        | 60.035179       1000.315859     | 44.378472       0.000911        |
20:22:51  23042   23042   120   | 0.009578        0.491590        | 0.009578        1000.315859     | 0.009578        0.000911        |
20:22:51  23042   23294   120   | 58.497787       0.491590        | 60.018316       1000.315859     | 51.983181       0.000911        |
20:22:51  23042   23293   120   | 65.178805       0.491590        | 100.530180      1000.315859     | 55.665848       0.000911        |
20:22:51  23042   23306   120   | 52.447298       0.491590        | 67.497821       1000.315859     | 27.997974       0.000911        |
20:22:51  23042   23297   120   | 56.932527       0.491590        | 63.510202       1000.315859     | 40.343235       0.000911        |
20:22:51  23042   23303   120   | 55.403583       0.491590        | 71.513677       1000.315859     | 20.081241       0.000911        |
20:22:51  23042   23300   120   | 52.026541       0.491590        | 60.067730       1000.315859     | 8.211540        0.000911        |
20:22:51  23042   23302   120   | 51.992248       0.491590        | 72.030218       1000.315859     | 15.869951       0.000911        |
20:22:51  23042   23295   120   | 58.047678       0.491590        | 60.017484       1000.315859     | 48.429808       0.000911        |
20:22:52  23042   23292   120   | 62.022994       1.311059        | 168.100075      3836.569102     | 0.006402        0.000911        |
20:22:52  23042   23305   120   | 57.984803       1.311059        | 72.003128       3836.569102     | 27.917449       0.000911        |
20:22:52  23042   23299   120   | 58.157246       1.311059        | 80.030216       3836.569102     | 4.103736        0.000911        |
20:22:52  23042   23307   120   | 57.486018       1.311059        | 64.012275       3836.569102     | 35.843739       0.000911        |
20:22:52  23042   23304   120   | 57.659446       1.311059        | 67.968691       3836.569102     | 24.034282       0.000911        |
20:22:52  23042   23298   120   | 58.323354       1.311059        | 87.520337       3836.569102     | 0.451896        0.000911        |
20:22:52  23042   23301   120   | 57.338051       1.311059        | 64.005407       3836.569102     | 12.171774       0.000911        |
20:22:52  23042   23296   120   | 58.623618       1.311059        | 60.159421       3836.569102     | 44.378472       0.000911        |
20:22:52  23042   23042   120   | 0.009578        1.311059        | 0.009578        3836.569102     | 0.009578        0.000911        |
20:22:52  23042   23294   120   | 59.487383       1.311059        | 60.049382       3836.569102     | 51.983181       0.000911        |
20:22:52  23042   23293   120   | 62.007340       1.311059        | 100.530180      3836.569102     | 55.665848       0.000911        |
20:22:52  23042   23306   120   | 57.009879       1.311059        | 67.497821       3836.569102     | 27.997974       0.000911        |
20:22:52  23042   23297   120   | 58.656241       1.310950        | 63.510202       3836.569102     | 40.343235       0.000911        |
20:22:52  23042   23303   120   | 58.478784       1.310950        | 71.513677       3836.569102     | 20.081241       0.000911        |
20:22:52  23042   23300   120   | 57.185633       1.310950        | 64.024018       3836.569102     | 8.211540        0.000911        |
20:22:52  23042   23302   120   | 57.828227       1.310950        | 72.030218       3836.569102     | 15.869951       0.000911        |
20:22:52  23042   23295   120   | 59.326866       1.310950        | 60.020360       3836.569102     | 48.429808       0.000911        |
20:22:53  23042   23292   120   | 60.345698       1.882410        | 168.100075      3836.569102     | 0.006402        0.000911        |
20:22:53  23042   23305   120   | 58.848990       1.882332        | 72.003128       3836.569102     | 27.917449       0.000911        |
20:22:53  23042   23299   120   | 58.762521       1.882332        | 80.030216       3836.569102     | 4.103736        0.000911        |
20:22:53  23042   23307   120   | 58.225085       1.882332        | 64.090332       3836.569102     | 35.843739       0.000911        |
20:22:53  23042   23304   120   | 57.674700       1.882332        | 76.018077       3836.569102     | 24.034282       0.000911        |
20:22:53  23042   23298   120   | 59.061470       1.882332        | 87.520337       3836.569102     | 0.451896        0.000911        |
20:22:53  23042   23301   120   | 59.633821       1.882332        | 100.282957      3836.569102     | 12.171774       0.000911        |
20:22:53  23042   23296   120   | 59.289374       1.882332        | 67.998580       3836.569102     | 44.378472       0.000911        |
20:22:53  23042   23042   120   | 0.009578        1.882332        | 0.009578        3836.569102     | 0.009578        0.000911        |
20:22:53  23042   23294   120   | 60.004958       1.882332        | 68.041122       3836.569102     | 51.983181       0.000911        |
20:22:53  23042   23293   120   | 61.264356       1.882332        | 100.530180      3836.569102     | 55.665848       0.000911        |
20:22:53  23042   23306   120   | 58.318990       1.882332        | 68.013870       3836.569102     | 27.997974       0.000911        |
20:22:53  23042   23297   120   | 58.972370       1.882332        | 68.013328       3836.569102     | 40.343235       0.000911        |
20:22:53  23042   23303   120   | 59.355953       1.882332        | 71.513677       3836.569102     | 20.081241       0.000911        |
20:22:53  23042   23300   120   | 58.670173       1.882332        | 68.011495       3836.569102     | 8.211540        0.000911        |
20:22:53  23042   23302   120   | 58.513693       1.882332        | 72.030218       3836.569102     | 15.869951       0.000911        |
20:22:53  23042   23295   120   | 59.510011       1.882332        | 64.009492       3836.569102     | 48.429808       0.000911        |
20:22:54  23042   23292   120   | 60.179062       2.414113        | 168.100075      3836.569102     | 0.006402        0.000911        |
20:22:54  23042   23305   120   | 59.185406       2.414016        | 72.003128       3836.569102     | 27.917449       0.000911        |
20:22:54  23042   23299   120   | 59.260023       2.414016        | 80.030216       3836.569102     | 4.103736        0.000911        |
20:22:54  23042   23307   120   | 58.632298       2.414016        | 64.090332       3836.569102     | 35.843739       0.000911        |
20:22:54  23042   23304   120   | 58.268284       2.414016        | 76.018077       3836.569102     | 24.034282       0.000911        |
20:22:54  23042   23298   120   | 59.469314       2.414016        | 87.520337       3836.569102     | 0.451896        0.000911        |
20:22:54  23042   23301   120   | 59.867989       2.414016        | 100.282957      3836.569102     | 12.171774       0.000911        |
20:22:54  23042   23296   120   | 59.143368       2.414016        | 67.998580       3836.569102     | 44.378472       0.000911        |
20:22:54  23042   23042   120   | 0.009578        2.413823        | 0.009578        3836.569102     | 0.009578        0.000911        |
20:22:54  23042   23294   120   | 60.136087       2.413823        | 68.041122       3836.569102     | 51.983181       0.000911        |
20:22:54  23042   23293   120   | 60.808693       2.413726        | 100.530180      3836.569102     | 52.010955       0.000911        |
20:22:54  23042   23306   120   | 58.703004       2.413726        | 68.013870       3836.569102     | 27.997974       0.000911        |
20:22:54  23042   23297   120   | 59.411162       2.413726        | 76.033567       3836.569102     | 40.343235       0.000911        |
20:22:54  23042   23303   120   | 59.674696       2.413726        | 71.514443       3836.569102     | 20.081241       0.000911        |
20:22:54  23042   23300   120   | 59.052436       2.413726        | 68.011495       3836.569102     | 8.211540        0.000911        |
20:22:54  23042   23302   120   | 58.845676       2.413726        | 72.030218       3836.569102     | 15.869951       0.000911        |
20:22:54  23042   23295   120   | 59.569915       2.413726        | 67.520313       3836.569102     | 48.429808       0.000911        |
20:22:55  23042   23292   120   | 60.359587       2.932979        | 168.100075      3836.569102     | 0.006402        0.000911        |
20:22:55  23042   23305   120   | 59.425791       2.932979        | 72.003128       3836.569102     | 27.917449       0.000911        |
20:22:55  23042   23299   120   | 59.903203       2.932979        | 88.095194       3836.569102     | 4.103736        0.000911        |
20:22:55  23042   23307   120   | 58.893647       2.932979        | 64.090332       3836.569102     | 35.843739       0.000911        |
20:22:55  23042   23304   120   | 58.657154       2.932979        | 76.018077       3836.569102     | 24.034282       0.000911        |
20:22:55  23042   23298   120   | 59.531178       2.932979        | 87.520337       3836.569102     | 0.451896        0.000911        |
20:22:55  23042   23301   120   | 60.012297       2.932979        | 100.282957      3836.569102     | 12.171774       0.000911        |
20:22:55  23042   23296   120   | 59.288429       2.932979        | 67.998580       3836.569102     | 44.378472       0.000911        |
20:22:55  23042   23042   120   | 0.009578        2.932979        | 0.009578        3836.569102     | 0.009578        0.000911        |
20:22:55  23042   23294   120   | 60.107889       2.932979        | 68.041122       3836.569102     | 51.869669       0.000911        |
20:22:55  23042   23293   120   | 60.522657       2.932979        | 100.530180      3836.569102     | 51.827385       0.000911        |
20:22:55  23042   23306   120   | 58.999398       2.932979        | 68.013870       3836.569102     | 27.997974       0.000911        |
20:22:55  23042   23297   120   | 59.803651       2.932979        | 78.620556       3836.569102     | 40.343235       0.000911        |
20:22:55  23042   23303   120   | 59.685576       2.932979        | 71.514443       3836.569102     | 20.081241       0.000911        |
20:22:55  23042   23300   120   | 59.325445       2.932979        | 68.011495       3836.569102     | 8.211540        0.000911        |
20:22:55  23042   23302   120   | 59.114431       2.932979        | 72.030218       3836.569102     | 15.869951       0.000911        |
20:22:55  23042   23295   120   | 59.663298       2.932979        | 67.520313       3836.569102     | 48.429808       0.000911        |
20:22:56  23042   23292   120   | 1.731331        3.418387        | 1.731331        5346.394254     | 1.731331        0.000911        |
